n.node_id,n.longitude,n.latitude,elementid(n)
1432255108,20.6076425,-103.3935241,4:8f62eafb-529f-4b3e-90b9-a12853359b86:5849
6137932284,20.6076461,-103.3925471,4:8f62eafb-529f-4b3e-90b9-a12853359b86:12769
1453210295,20.607647,-103.3712638,4:8f62eafb-529f-4b3e-90b9-a12853359b86:6616
1654014089,20.6076507,-103.4217122,4:8f62eafb-529f-4b3e-90b9-a12853359b86:8449
1452636054,20.6076675,-103.3789274,4:8f62eafb-529f-4b3e-90b9-a12853359b86:6591
1451045753,20.6076691,-103.3766519,4:8f62eafb-529f-4b3e-90b9-a12853359b86:6569
7699937633,20.6076815,-103.3593094,4:8f62eafb-529f-4b3e-90b9-a12853359b86:13694
7699937634,20.6076907,-103.3593584,4:8f62eafb-529f-4b3e-90b9-a12853359b86:13695
1451045754,20.6076972,-103.376782,4:8f62eafb-529f-4b3e-90b9-a12853359b86:6570
1800778129,20.6077236,-103.4332883,4:8f62eafb-529f-4b3e-90b9-a12853359b86:10317
1454530809,20.6077277,-103.381707,4:8f62eafb-529f-4b3e-90b9-a12853359b86:6760
1794521365,20.6077325,-103.4347377,4:8f62eafb-529f-4b3e-90b9-a12853359b86:10151
1450810361,20.6077381,-103.3718453,4:8f62eafb-529f-4b3e-90b9-a12853359b86:6450
7699753132,20.60774,-103.3599521,4:8f62eafb-529f-4b3e-90b9-a12853359b86:13690
1452636052,20.6077513,-103.3823146,4:8f62eafb-529f-4b3e-90b9-a12853359b86:6589
1864344295,20.607759,-103.3847378,4:8f62eafb-529f-4b3e-90b9-a12853359b86:10564
7699753133,20.6077652,-103.3603453,4:8f62eafb-529f-4b3e-90b9-a12853359b86:13691
1439693446,20.6077659,-103.3927586,4:8f62eafb-529f-4b3e-90b9-a12853359b86:6124
1432255110,20.6077751,-103.3918733,4:8f62eafb-529f-4b3e-90b9-a12853359b86:5850
1691465169,20.6077846,-103.3941902,4:8f62eafb-529f-4b3e-90b9-a12853359b86:9616
1432255032,20.607792,-103.3917132,4:8f62eafb-529f-4b3e-90b9-a12853359b86:5835
1430324000,20.6077968,-103.422291,4:8f62eafb-529f-4b3e-90b9-a12853359b86:5787
1430324065,20.607797,-103.4245917,4:8f62eafb-529f-4b3e-90b9-a12853359b86:5793
4760132312,20.6077992,-103.3599466,4:8f62eafb-529f-4b3e-90b9-a12853359b86:12559
1427496407,20.6078003,-103.3693279,4:8f62eafb-529f-4b3e-90b9-a12853359b86:5737
6464817845,20.6078044,-103.3594121,4:8f62eafb-529f-4b3e-90b9-a12853359b86:12983
1737920343,20.6078052,-103.358049,4:8f62eafb-529f-4b3e-90b9-a12853359b86:9848
4760132290,20.6078058,-103.359268,4:8f62eafb-529f-4b3e-90b9-a12853359b86:12558
2869717409,20.6078193,-103.4056597,4:8f62eafb-529f-4b3e-90b9-a12853359b86:11895
2883920449,20.6078358,-103.4255159,4:8f62eafb-529f-4b3e-90b9-a12853359b86:11978
4760132314,20.6078363,-103.3603407,4:8f62eafb-529f-4b3e-90b9-a12853359b86:12560
1452636056,20.6078705,-103.382226,4:8f62eafb-529f-4b3e-90b9-a12853359b86:6592
1453347333,20.6078729,-103.3774815,4:8f62eafb-529f-4b3e-90b9-a12853359b86:6657
3651304993,20.6078895,-103.3607463,4:8f62eafb-529f-4b3e-90b9-a12853359b86:12246
1645059434,20.6078899,-103.3746469,4:8f62eafb-529f-4b3e-90b9-a12853359b86:8205
